ID,Sex,Age (years),Complete,Date,Video1,,,,,,Video2,,,,,,Video3,,,,,,Video4,,,,,,Video5,,,,,,Video6,,,,,,Fatigue (after experiment),Order of videos,,,,,
,,,,,neutral,fear,sad,happy,anger,disgust,neutral,fear,sad,happy,anger,disgust,neutral,fear,sad,happy,anger,disgust,neutral,fear,sad,happy,anger,disgust,neutral,fear,sad,happy,anger,disgust,neutral,fear,sad,happy,anger,disgust,,,,,,,
010,Female,25,Finished,2018/4/19 18:00,1,4,1,1,1,1,2,1,1,6,1,1,1,2,5,1,1,1,5,1,1,2,1,1,1,2,3,1,5,2,1,4,4,1,2,2,3,fear,happy,sad,neutral,anger,disgust
011,Female,24,Finished,2018/4/19 19:00,1,7,2,1,1,1,1,1,7,1,1,1,2,1,4,1,4,2,3,1,2,4,1,1,2,1,1,5,1,1,1,3,2,1,2,5,2,fear,sad,anger,neutral,happy,disgust
012,Male,22,Finished,2018/4/20 10:00,2,1,1,3,1,1,1,4,1,1,1,5,1,6,1,1,1,1,1,1,1,1,5,5,3,1,1,1,2,5,5,1,1,2,1,1,3,happy,disgust,fear,anger,sad,neutral
013,Male,25,Finished,2018/4/20 19:00,3,5,5,3,5,6,5,1,2,4,1,3,4,5,3,3,2,2,4,4,2,1,3,4,4,2,2,2,3,4,3,1,2,5,2,3,4,anger,neutral,fear,sad,disgust,happy
014,Male,23,Finished,2018/4/21 18:00,1,1,6,1,1,1,2,1,1,5,1,1,1,3,1,1,1,5,6,1,1,2,1,1,1,7,1,1,1,1,1,1,2,1,5,2,2,sad,happy,disgust,neutral,fear,anger
015,Female,25,Finished,2018/4/22 14:00,1,1,1,4,1,1,4,1,1,1,1,1,4,1,1,1,1,2,1,4,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,4,happy,neutral,anger,fear,sad,disgust
016,Male,21,Finished,2018/4/23 9:00,3,3,3,1,7,7,7,1,1,1,1,1,1,1,2,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,2,4,1,1,1,4,3,anger,neutral,sad,fear,happy,disgust
017,Female,26,Finished,2018/4/23 14:00,1,5,2,1,1,7,7,1,1,3,1,1,1,6,1,1,1,1,1,3,3,1,6,2,3,1,5,1,1,1,3,1,1,6,1,1,4,disgust,neutral,fear,anger,sad,happy
018,Female,26,Finished,2018/4/24 10:00,7,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1,1,1,1,4,1,1,4,7,7,1,1,1,1,1,1,1,1,7,1,1,2,anger,fear,sad,disgust,neutral,happy
019,Male,21,Finished,2018/4/24 14:00,1,1,1,1,2,4,1,5,1,1,1,3,7,1,1,1,1,1,5,1,1,2,1,1,1,1,3,1,1,1,1,3,1,1,1,1,2,anger,disgust,neutral,happy,sad,fear
020,Male,25,Finished,2018/4/24 19:00,4,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,4,4,3,1,1,2,1,1,1,2,1,1,1,4,1,1,5,1,1,1,1,happy,fear,anger,neutral,disgust,sad
021,Female,24,Finished,2018/4/25 9:00,1,1,6,1,3,3,5,3,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,7,1,1,7,1,1,1,1,1,1,4,1,1,3,anger,fear,neutral,disgust,sad,happy
022,Female,25,Finished,2018/4/25 14:00,1,7,3,1,4,7,1,1,6,1,1,1,7,1,1,4,1,1,3,1,1,6,1,1,1,7,1,1,1,2,1,3,3,1,7,5,2,disgust,sad,neutral,happy,fear,anger
023,Female,24,Finished,2018/4/26 8:00,1,1,6,1,1,1,1,7,1,1,1,1,7,1,1,1,1,1,1,1,1,7,1,1,2,1,1,1,1,5,1,1,1,1,7,1,3,sad,fear,neutral,happy,disgust,anger
024,Female,24,Finished,2018/4/26 14:00,1,5,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,7,1,1,1,4,1,1,6,1,1,1,1,1,1,1,3,1,6,1,3,fear,sad,disgust,happy,neutral,anger
025,Female,25,Finished,2018/4/26 18:00,4,4,1,1,1,1,1,1,1,6,1,1,1,1,7,1,1,1,7,1,1,1,1,1,1,5,1,1,1,7,1,1,1,1,4,1,4,fear,happy,sad,neutral,disgust,anger
026,Female,24,Finished,2018/4/27 9:00,7,1,1,3,1,1,1,3,5,1,1,6,1,2,4,1,7,7,6,1,1,7,1,1,2,1,6,1,1,1,1,7,1,1,1,1,5,neutral,disgust,anger,happy,sad,fear
027,Female,25,Finished,2018/4/27 14:00,1,1,3,1,7,1,4,1,1,4,1,1,1,1,6,1,1,1,5,3,1,1,1,1,5,1,1,1,1,3,7,1,1,1,1,1,2,anger,happy,sad,fear,disgust,neutral
028,Female,27,Finished,2018/4/27 19:00,1,4,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,7,1,1,3,1,7,1,1,1,7,1,1,1,1,1,1,1,1,3,4,fear,neutral,disgust,anger,sad,happy
029,Female,25,Finished,2018/4/28 14:00,1,1,4,1,5,5,1,2,1,1,1,4,1,1,6,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,6,1,1,2,1,1,3,anger,disgust,sad,happy,fear,neutral
030,Female,24,Finished,2018/4/28 19:00,1,7,1,1,7,7,1,7,7,1,7,7,7,1,1,4,1,1,1,7,4,1,1,7,7,1,7,1,1,1,3,1,1,7,1,1,4,disgust,anger,neutral,fear,sad,happy
031,Male,23,Finished,2018/5/3 9:00,1,1,7,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,2,1,7,4,1,6,1,1,1,1,7,1,1,1,1,1,2,sad,happy,disgust,anger,fear,neutral
032,Male,25,Finished,2018/5/3 14:00,4,1,1,6,1,1,5,1,1,5,1,1,4,2,2,1,1,3,5,1,1,1,1,1,3,4,1,1,1,1,2,1,3,1,3,1,,happy,neutral,disgust,sad,fear,anger
033,Female,26,Finished,2018/5/3 19:00,5,1,1,4,1,2,4,1,5,1,1,1,4,1,1,2,1,1,2,3,1,1,2,2,2,4,2,1,2,7,2,2,2,1,7,7,4,happy,sad,neutral,fear,disgust,anger
034,Female,25,Finished,2018/5/4 9:00,1,7,1,1,1,1,1,2,3,1,7,5,1,7,1,1,1,6,1,1,1,7,1,1,1,1,5,1,5,1,6,1,1,3,1,1,,fear,anger,disgust,happy,sad,neutral
035,Female,25,Finished,2018/5/4 14:00,1,2,2,1,2,7,1,2,1,2,1,1,1,1,1,2,1,1,1,1,6,1,1,1,1,1,1,3,1,1,1,7,1,1,1,1,2,anger,fear,happy,sad,neutral,disgust
036,Female,26,Finished,2018/5/4 16:00,5,1,1,1,1,6,1,7,2,1,7,1,1,1,7,1,1,1,1,7,1,1,1,1,1,7,1,1,1,7,4,1,1,4,1,1,4,happy,anger,sad,fear,disgust,neutral
037,Male,31,Finished,2018/5/7 9:00,1,7,1,1,1,4,4,1,2,1,6,1,6,1,4,1,1,1,6,1,1,1,1,1,4,1,1,4,1,1,2,1,1,5,1,1,3,fear,anger,sad,disgust,neutral,happy
038,Female,25,Finished,2018/5/7 13:00,1,1,1,7,1,1,7,1,1,1,1,1,1,7,1,1,1,1,1,1,7,1,1,1,1,1,1,1,7,7,1,7,1,1,1,7,3,happy,neutral,fear,sad,anger,disgust
039,Male,23,Finished,2018/5/7 16:00,6,1,1,1,1,1,1,6,2,1,1,2,1,1,1,5,1,1,1,1,6,1,1,1,1,1,2,1,6,1,1,6,1,1,1,1,2,neutral,disgust,happy,sad,anger,fear
040,Female,24,Finished,2018/5/7 19:00,1,2,1,1,1,4,1,1,1,1,7,1,1,1,1,5,1,1,7,1,1,1,1,1,1,1,7,1,1,1,1,6,1,1,1,1,3,disgust,anger,happy,neutral,sad,fear
041,Male,25,Finished,2018/5/9 14:00,1,4,6,1,7,6,1,1,7,1,2,2,4,1,1,4,1,1,3,1,1,7,1,1,1,5,2,1,2,7,1,7,1,1,1,3,1,anger,sad,neutral,happy,disgust,fear
042,Female,22,Finished,2018/5/9 20:00,4,4,1,1,1,3,6,1,1,1,1,1,1,6,1,1,1,6,1,7,1,1,1,6,1,7,1,1,1,7,4,1,1,3,1,1,4,sad,neutral,anger,fear,disgust,happy
043,Male,25,Finished,2018/5/10 9:00,1,6,3,1,2,7,1,2,7,1,1,1,1,7,1,1,1,1,1,1,1,6,1,2,6,1,1,3,1,1,1,7,3,1,1,7,4,anger,sad,fear,happy,neutral,disgust
044,Male,21,Finished,2018/5/10 16:00,1,1,1,4,1,1,7,1,1,1,1,1,1,1,2,1,7,2,1,1,7,1,1,1,1,7,1,1,1,1,1,6,1,1,1,1,4,happy,neutral,anger,sad,disgust,fear
045,Female,20,Finished,2018/5/10 19:00,3,1,1,4,1,1,3,1,3,1,1,1,1,1,2,1,3,7,2,1,1,5,1,1,1,6,1,1,2,1,1,1,2,1,7,3,2,neutral,sad,disgust,happy,fear,anger
046,Female,26,Finished,2018/5/11 9:00,1,7,1,1,1,1,1,1,6,1,6,6,1,1,7,1,1,1,6,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,6,3,fear,anger,sad,happy,neutral,disgust
047,Female,22,Finished,2018/5/11 15:00,1,7,1,1,1,7,1,4,7,1,7,7,1,7,1,1,1,7,7,1,1,1,1,1,2,1,1,5,1,1,1,1,6,1,1,1,5,disgust,anger,fear,neutral,happy,sad
048,Male,21,Finished,2018/5/11 19:00,1,5,1,1,6,4,7,1,1,1,1,3,1,6,1,1,1,3,1,1,1,6,1,1,1,1,6,1,1,1,1,1,2,1,7,7,3,disgust,neutral,fear,happy,sad,anger
049,Female,25,Finished,2018/5/12 16:00,2,5,1,1,1,1,1,1,1,1,1,7,1,1,1,6,1,1,1,1,1,1,3,6,1,1,5,1,1,1,7,1,1,2,1,1,4,fear,disgust,happy,anger,sad,neutral
050,Female,25,Finished,2018/5/12 14:00,7,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,6,5,1,1,5,1,1,1,1,4,1,1,1,6,2,neutral,happy,fear,anger,sad,disgust
051,Female,25,Finished,2018/5/14 9:00,1,4,2,2,2,6,4,1,5,1,1,4,1,3,3,1,7,5,7,1,1,2,1,1,4,1,1,4,1,1,2,5,1,2,1,1,,disgust,sad,anger,neutral,happy,fear
052,Female,24,Finished,2018/5/15 9:00,2,1,6,1,1,1,6,1,1,1,1,1,1,4,1,1,6,1,1,7,1,1,1,7,1,6,1,1,1,1,1,1,1,7,1,1,,sad,neutral,anger,disgust,fear,happy
053,Female,24,Finished,2018/5/15 14:00,7,1,1,1,1,1,1,1,1,4,1,1,1,1,5,1,1,1,1,4,1,1,1,1,1,1,1,1,3,7,1,1,2,1,5,3,1,neutral,happy,sad,fear,disgust,anger
054,Male,25,Finished,2018/5/15 19:00,1,6,1,1,1,2,1,7,3,1,6,7,1,5,1,1,1,7,1,1,1,2,4,1,7,1,1,1,1,1,1,1,6,1,1,1,4,fear,anger,disgust,happy,neutral,sad
055,Female,24,Finished,2018/5/16 8:00,4,1,3,1,1,1,1,5,5,1,5,5,4,1,1,3,1,1,1,4,1,1,1,5,1,1,1,6,1,1,1,4,1,1,1,1,1,sad,anger,neutral,disgust,happy,fear
056,Female,25,Finished,2018/5/16 14:00,1,6,1,1,1,2,4,2,1,1,1,1,1,1,2,1,1,1,7,1,1,1,1,1,1,1,1,3,1,1,1,5,1,1,1,7,4,fear,anger,sad,neutral,happy,disgust
057,Female,25,Finished,2018/5/20 9:00,6,1,1,2,1,1,1,1,6,1,1,1,1,1,1,5,1,1,1,1,1,1,2,1,1,4,1,1,1,2,1,7,1,1,1,1,2,neutral,sad,happy,anger,disgust,fear
058,Male,22,Finished,2018/5/25 9:00,2,5,1,1,1,1,2,1,1,1,5,5,3,2,1,1,1,2,7,1,1,1,1,1,5,1,3,1,2,3,5,1,1,6,1,1,,fear,anger,disgust,neutral,sad,happy
059,Female,25,Finished,2018/5/25 14:00,1,7,2,1,2,7,1,7,1,1,1,1,1,1,4,1,2,1,6,1,1,1,1,1,1,1,7,1,7,5,3,1,1,7,1,1,2,disgust,fear,sad,neutral,anger,happy
060,Male,24,Finished,2018/5/25 16:00,1,1,1,7,1,1,1,1,5,1,7,1,1,1,7,1,1,1,1,1,1,2,1,5,5,1,1,1,1,1,1,3,1,1,1,1,1,happy,anger,sad,disgust,neutral,fear
061,Female,24,Finished,2018/5/25 20:00,1,1,1,4,1,1,1,2,5,1,1,1,1,7,1,1,1,1,1,7,1,1,1,7,5,1,1,1,1,1,1,1,6,1,1,1,2,happy,anger,fear,disgust,neutral,sad
062,Male,25,Finished,2018/5/27 14:00,4,1,1,1,1,7,1,6,2,1,1,1,1,1,7,1,5,2,6,1,1,3,1,1,1,7,1,1,6,7,1,1,6,1,7,4,4,happy,fear,sad,neutral,disgust,anger
063,Male,23,Finished,2018/5/29 10:00,5,2,2,1,3,6,2,1,1,6,1,2,5,6,1,1,1,4,4,5,2,1,2,7,4,1,6,1,1,2,7,1,1,1,1,1,3,anger,happy,fear,disgust,sad,neutral
064,Male,26,Finished,2018/6/13 10:00,1,1,1,6,1,2,1,1,7,1,3,1,2,4,1,1,1,2,1,1,7,1,1,1,1,4,1,1,1,2,7,1,1,1,1,1,2,happy,anger,disgust,sad,fear,neutral
